1	5 6 9 4 1 10 0 3 8 7 2
2	5 6 2 3 1 8 10 4 0 7 9
3	7 2 9 10 6 5 4 8 1 3 0
4	4 8 2 9 3 1 10 11 0 7 5 6
5	0 2 9 11 10 3 7 5 6 8 1 4
6	7 1 5 3 8 9 0 2 10 6 4
7	9 3 2 8 7 0 10 11 6 4 5 1
8	9 7 0 10 8 6 5 1 3 4 2
9	3 10 8 5 9 1 7 0 6 4 2
10	2 6 10 9 7 0 5 3 8 4 1 11
11	8 10 5 9 3 1 4 0 2 7 6
12	6 1 10 7 4 2 9 3 0 5 8
13	0 2 5 4 11 10 1 3 7 9 6 8
14	7 5 8 6 9 11 0 4 1 2 3 10
15	0 6 10 4 11 3 2 9 8 7 5 1
16	7 6 4 1 3 0 10 5 9 2 8
17	1 6 3 10 8 9 7 11 0 4 2 5
18	1 0 7 8 4 3 10 5 9 6 2
19	1 10 11 5 2 7 6 4 0 8 3 9
20	5 3 2 11 4 0 10 9 7 8 6 1
21	1 10 2 4 9 0 3 8 5 7 6
22	6 11 5 8 9 3 10 0 4 2 1 7
23	7 10 5 8 4 3 0 9 11 1 2 6
24	8 7 10 6 0 9 5 3 1 4 2
25	1 0 8 11 2 7 5 6 9 4 10 3
26	2 3 4 1 7 8 9 10 0 6 5
27	7 11 10 3 0 2 5 6 1 9 4 8
28	5 1 3 9 11 4 8 6 2 10 7 0
29	7 5 8 6 3 2 9 10 4 0 1
30	6 2 10 0 1 3 5 9 7 4 8
31	10 8 0 5 4 6 2 7 9 3 1
32	0 10 11 4 5 2 8 6 9 3 1 7
33	0 8 3 1 9 7 2 4 6 5 10
34	2 6 1 10 7 9 4 8 0 5 3
35	0 2 5 6 4 3 10 1 8 7 9
36	9 8 5 3 6 11 1 4 2 0 10 7
37	0 3 6 2 7 9 4 10 5 8 1
38	0 10 1 8 9 6 5 4 3 7 2
39	3 11 5 8 1 10 0 6 4 7 9 2
40	9 2 3 8 5 0 7 1 6 10 4
41	7 3 6 1 5 11 8 4 2 10 9 0
42	5 7 3 2 0 11 10 8 6 1 4 9
43	2 4 1 0 11 9 6 3 5 7 10 8
44	9 11 0 5 6 10 3 7 2 1 4 8
45	7 11 9 2 8 1 10 3 5 0 6 4
46	7 9 8 11 0 3 4 6 2 1 10 5
47	11 1 5 8 10 0 6 3 9 7 4 2
48	5 8 2 0 9 3 6 10 1 7 4
49	4 5 7 8 0 10 2 3 9 11 6 1
50	4 9 11 1 2 6 3 8 7 10 5 0
51	2 7 4 1 0 8 10 9 3 5 6
52	2 3 1 10 7 5 8 0 9 6 4
53	4 7 11 9 5 6 8 2 1 3 0 10
54	9 1 4 8 2 7 10 5 6 0 3
55	3 9 0 5 2 1 4 10 7 6 8 11
56	5 7 8 9 3 1 2 6 11 10 0 4
57	6 10 0 1 2 7 8 3 9 5 4
58	7 3 10 6 4 5 8 0 9 2 1
59	10 7 0 2 8 9 11 3 1 6 5 4
60	3 6 9 0 1 10 8 7 4 5 2
61	1 9 2 10 8 11 0 4 5 6 7 3
62	4 0 1 9 7 6 11 8 3 5 2 10
63	11 8 4 0 1 9 2 10 5 3 6 7
64	3 10 1 7 4 11 5 6 0 2 9 8
65	4 0 3 6 10 8 1 7 9 2 5
66	10 3 1 7 9 4 5 0 6 2 8
67	1 4 7 6 8 3 9 0 2 5 10
68	2 5 0 4 8 1 11 10 9 3 7 6
69	2 5 6 1 3 9 7 0 4 11 10 8
70	8 1 0 10 3 5 4 2 6 9 7
71	7 8 1 3 2 6 4 5 9 10 11 0
72	3 1 8 9 6 11 7 5 10 4 2 0
73	10 9 6 7 2 4 8 11 5 3 1 0
74	0 3 7 11 5 6 1 4 8 10 9 2
75	10 3 11 4 9 5 7 2 1 8 6 0
76	8 4 9 1 5 0 7 6 10 2 3 11
77	8 5 0 4 1 10 6 7 3 9 2
78	4 1 8 10 2 9 6 7 3 5 0
79	8 9 6 10 2 3 1 0 7 4 5
80	0 6 3 9 2 7 1 4 5 10 8
81	9 0 3 7 6 2 5 4 1 10 8
82	5 8 10 4 0 9 1 11 3 7 2 6
83	9 0 5 1 11 7 8 6 10 4 3 2
